"","cohort","mouse","day","creatinine"
"668",53,"mouse5","pair1",65.5
"669",53,"mouse5","pair2",86
"670",53,"mouse5","day17",72.98576338
"671",53,"mouse5","day19",57.26775956
"672",53,"mouse5","day5",89.79591837
"673",53,"mouse5","day1",50.28571429
"674",53,"mouse5","day11",69.75203715
"675",53,"mouse5","day12",57.37667572
"676",53,"mouse5","day13",52.87654429
"677",53,"mouse5","day2",60.57142857
"678",53,"mouse5","day15",63.86254296
"679",53,"mouse5","pair3",82
"680",53,"mouse5","day14",54.73932253
"681",54,"mouse5","day2",52.20703934
"682",54,"mouse5","day3",55.87784679
"683",54,"mouse5","day1",58.73291925
"684",54,"mouse5","day17",35.67907897
"685",54,"mouse5","day5",56.8707483
"686",54,"mouse5","pair2",40.24943311
"687",54,"mouse5","day4",55.71796286
"688",54,"mouse5","day7",54.64668954
"689",54,"mouse5","pair3",51.11678005
"690",54,"mouse5","day6",54.56517742
"691",54,"mouse5","day19",32.30769231
"692",54,"mouse5","day9",78.33965983
"693",54,"mouse5","day11",65.72888532
"694",54,"mouse5","day13",34.54038496
"695",54,"mouse5","pair1",60.37414966
"696",54,"mouse5","day15",28.08778557
"697",55,"mouse5","day4",87.76533728
"698",55,"mouse5","day3",127.9454806
"699",55,"mouse5","day2",87.21377331
"700",55,"mouse5","day19",33.00546448
"701",55,"mouse5","day5",108.1669288
"702",55,"mouse5","day6",83.53104469
"703",55,"mouse5","day1",104.9440459
"704",55,"mouse5","day17",117.6224299
"705",55,"mouse5","pair1",NA
"706",55,"mouse5","day7",119.1266761
"707",55,"mouse5","day13",45.65607477
"708",55,"mouse5","day9",95.82745236
"709",55,"mouse5","pair3",NA
"710",55,"mouse5","day11",80.79569513
"711",55,"mouse5","day15",85.50841121
"712",55,"mouse5","pair2",NA
"713",56,"mouse5","day4",71.4197292069633
"714",56,"mouse5","day19",76.9230769230769
"715",56,"mouse5","day3",71.123250910485
"716",56,"mouse5","pair3",58.582995291856
"717",56,"mouse5","day6",68.2630560928433
"718",56,"mouse5","day1",49.9041594786276
"719",56,"mouse5","day2",59.7278129193023
"720",56,"mouse5","pair2",48.0784582050405
"721",56,"mouse5","day17",45.9024103468548
"722",56,"mouse5","day15",35.6563366087176
"723",56,"mouse5","day7",72.5804195804196
"724",56,"mouse5","day5",71.4197292069633
"725",56,"mouse5","pair1",91.3086685238584
"726",56,"mouse5","day11",75.1993006993007
"727",56,"mouse5","day13",36.0661795582431
"728",56,"mouse5","day9",49.3846153846154
"729",57,"mouse5","pair1",62.2766798418972
"730",57,"mouse5","day19",47.3913043478261
"731",57,"mouse5","day1",29.9015235971758
"732",57,"mouse5","day15",40.4669260700389
"733",57,"mouse5","pair3",18.3636363636364
"734",57,"mouse5","day11",61.7532900216558
"735",57,"mouse5","day13",36.9649805447471
"736",57,"mouse5","day17",48.6381322957198
"737",57,"mouse5","pair2",24.3517786561265
"738",57,"mouse5","day4",54.6573124662709
"739",57,"mouse5","day2",41.1631363805277
"740",57,"mouse5","day3",63.2980304719435
"741",57,"mouse5","day7",52.3471597534566
"742",57,"mouse5","day9",65.0249875062469
"743",57,"mouse5","day6",51.241230437129
"744",57,"mouse5","day5",56.1755711458895
"745",58,"mouse5","pair2",24.6
"746",58,"mouse5","day5",45.1414141414141
"747",58,"mouse5","day13",37.6650717703349
"748",58,"mouse5","day17",46.2966507177033
"749",58,"mouse5","day6",60.1885521885522
"750",58,"mouse5","pair1",41.3904761904762
"751",58,"mouse5","day2",56.191805331902
"752",58,"mouse5","day19",55.6521739130435
"753",58,"mouse5","day7",46.8637029799707
"754",58,"mouse5","day15",49.8277511961722
"755",58,"mouse5","day4",55.4175084175084
"756",58,"mouse5","day11",38.0214948705422
"757",58,"mouse5","pair3",46.0761904761905
"758",58,"mouse5","day1",48.9779924852389
"759",58,"mouse5","day9",52.1690278456278
"760",58,"mouse5","day3",46.320271962784
"761",53,"mouse6","pair2",52.5
"762",53,"mouse6","pair3",55.5
"763",53,"mouse6","day1",50.28571429
"764",53,"mouse6","day5",71.02040816
"765",53,"mouse6","day19",49.61748634
"766",53,"mouse6","day3",72
"767",53,"mouse6","day4",67.34693878
"768",53,"mouse6","day12",69.3770262
"769",53,"mouse6","pair1",80.5
"770",53,"mouse6","day13",72.37711382
"771",53,"mouse6","day14",69.41580756
"772",53,"mouse6","day15",61.87923417
"773",53,"mouse6","day17",46.80608738
"774",53,"mouse6","day2",57.14285714
"775",53,"mouse6","day7",69.16491964
"776",53,"mouse6","day11",59.62674144
"777",53,"mouse6","day10",51.96715584
"778",53,"mouse6","day6",89.3877551
"779",53,"mouse6","day9",66.17400419
"780",54,"mouse6","day5",55.33370105
"781",54,"mouse6","day6",51.49108292
"782",54,"mouse6","pair2",16.50226757
"783",54,"mouse6","day15",36.05864364
"784",54,"mouse6","pair3",29.38208617
"785",54,"mouse6","day7",31.71800861
"786",54,"mouse6","day2",38.74741201
"787",54,"mouse6","day3",58.32505176
"788",54,"mouse6","day4",60.71336643
"789",54,"mouse6","day1",39.1552795
"790",54,"mouse6","pair1",54.33673469
"791",54,"mouse6","day9",47.76808526
"792",54,"mouse6","day11",40.88948098
"793",54,"mouse6","day17",29.22647958
"794",54,"mouse6","day19",35.38461538
"795",54,"mouse6","day13",24.67170354
"796",55,"mouse6","pair1",56.90050835
"797",55,"mouse6","day3",114.527977
"798",55,"mouse6","day4",70.05829555
"799",55,"mouse6","day1",74.75466284
"800",55,"mouse6","day19",61.63934426
"801",55,"mouse6","day2",113.5695839
"802",55,"mouse6","day7",87.18419195
"803",55,"mouse6","day9",84.17784051
"804",55,"mouse6","day5",87.76533728
"805",55,"mouse6","day6",58.51022485
"806",55,"mouse6","pair2",63.65141612
"807",55,"mouse6","pair3",76.67102397
"808",55,"mouse6","day13",68.09719626
"809",55,"mouse6","day15",72.35327103
"810",55,"mouse6","day17",112.5925234
"811",55,"mouse6","day11",56.36908963
"812",56,"mouse6","day2",51.0829978915085
"813",56,"mouse6","day3",48.7253210657466
"814",56,"mouse6","pair2",19.3929915448903
"815",56,"mouse6","day5",35.9071566731141
"816",56,"mouse6","pair3",30.7055699460763
"817",56,"mouse6","pair1",55.3508300343743
"818",56,"mouse6","day4",38.669245647969
"819",56,"mouse6","day11",35.541958041958
"820",56,"mouse6","day6",28.8046421663443
"821",56,"mouse6","day1",56.5842438182863
"822",56,"mouse6","day9",24.3181818181818
"823",56,"mouse6","day13",26.2299487696313
"824",56,"mouse6","day15",14.3445032333921
"825",56,"mouse6","day17",28.6890064667842
"826",56,"mouse6","day19",23.8461538461538
"827",56,"mouse6","day7",31.0524475524476
"828",57,"mouse6","day13",40.0778210116732
"829",57,"mouse6","day11",56.4367816091954
"830",57,"mouse6","day1",51.2597547380156
"831",57,"mouse6","pair3",36.3280632411067
"832",57,"mouse6","day4",36.8177729807519
"833",57,"mouse6","day2",50.0947603121516
"834",57,"mouse6","pair2",42.3162055335968
"835",57,"mouse6","day3",52.8130806391676
"836",57,"mouse6","day17",60.3112840466926
"837",57,"mouse6","day5",59.9712178449361
"838",57,"mouse6","day7",67.0697984341163
"839",57,"mouse6","day9",60.5264034649342
"840",57,"mouse6","pair1",49.901185770751
"841",57,"mouse6","day15",39.2996108949416
"842",57,"mouse6","day19",40
"843",57,"mouse6","day6",68.3216405828387
"844",58,"mouse6","day7",41.1162677088422
"845",58,"mouse6","pair1",55.0571428571429
"846",58,"mouse6","day6",56.8855218855219
"847",58,"mouse6","day2",51.6357130076937
"848",58,"mouse6","pair2",37.4857142857143
"849",58,"mouse6","day1",62.6462694578637
"850",58,"mouse6","day15",45.9043062200957
"851",58,"mouse6","day3",49.3576668455895
"852",58,"mouse6","day5",56.8855218855219
"853",58,"mouse6","pair3",48.4190476190476
"854",58,"mouse6","day17",41.9808612440192
"855",58,"mouse6","day19",38.2608695652174
"856",58,"mouse6","day13",40.4114832535885
"857",58,"mouse6","day9",49.9584758182706
"858",58,"mouse6","day11",56.590131900342
"859",58,"mouse6","day4",51.013468013468
"860",53,"mouse7","pair1",51.5
"861",53,"mouse7","day10",NA
"862",53,"mouse7","day11",NA
"863",53,"mouse7","day12",NA
"864",53,"mouse7","day3",89.71428571
"865",53,"mouse7","day9",NA
"866",53,"mouse7","day4",35.51020408
"867",53,"mouse7","day5",31.02040816
"868",53,"mouse7","day2",79.42857143
"869",53,"mouse7","pair2",65.5
"870",53,"mouse7","day7",34.3955276
"871",53,"mouse7","day19",NA
"872",53,"mouse7","day1",49.14285714
"873",53,"mouse7","day15",NA
"874",53,"mouse7","pair3",59
"875",53,"mouse7","day17",NA
"876",53,"mouse7","day6",24.89795918
"877",53,"mouse7","day14",NA
"878",53,"mouse7","day13",NA
"879",54,"mouse7","pair1",43.06689342
"880",54,"mouse7","day5",36.88913403
"881",54,"mouse7","pair2",10.06235828
"882",54,"mouse7","pair3",41.4569161
"883",54,"mouse7","day1",29.36645963
"884",54,"mouse7","day15",22.77388019
"885",54,"mouse7","day9",56.93955763
"886",54,"mouse7","day4",38.8104431
"887",54,"mouse7","day13",22.77388019
"888",54,"mouse7","day17",25.05126821
"889",54,"mouse7","day19",30
"890",54,"mouse7","day11",58.46813636
"891",54,"mouse7","day2",48.53623188
"892",54,"mouse7","day7",47.76808526
"893",54,"mouse7","day3",40.37888199
"894",54,"mouse7","day6",39.96322853
"895",55,"mouse7","day4",44.26760433
"896",55,"mouse7","day15",41.78691589
"897",55,"mouse7","pair1",54.00726216
"898",55,"mouse7","pair2",67.9912854
"899",55,"mouse7","day3",73.79626973
"900",55,"mouse7","day7",50.73218066
"901",55,"mouse7","day9",42.84050812
"902",55,"mouse7","pair3",63.65141612
"903",55,"mouse7","day6",61.97464606
"904",55,"mouse7","day17",40.62616822
"905",55,"mouse7","day11",35.70042343
"906",55,"mouse7","day13",34.04859813
"907",55,"mouse7","day1",59.42037303
"908",55,"mouse7","day2",77.62984218
"909",55,"mouse7","day5",58.51022485
"910",55,"mouse7","day19",35.40983607
"911",56,"mouse7","day4",63.1334622823985
"912",56,"mouse7","day15",31.1480641639372
"913",56,"mouse7","day5",47.7446808510638
"914",56,"mouse7","day2",52.2618363043895
"915",56,"mouse7","day3",59.3348667816753
"916",56,"mouse7","day1",56.9771899559133
"917",56,"mouse7","day13",36.885865457294
"918",56,"mouse7","day7",46.7657342657343
"919",56,"mouse7","day9",NA
"920",56,"mouse7","pair1",81.6121727514133
"921",56,"mouse7","pair2",37.1699004610397
"922",56,"mouse7","day17",34.8366507096666
"923",56,"mouse7","day11",47.513986013986
"924",56,"mouse7","day6",NA
"925",56,"mouse7","day19",45.7692307692308
"926",56,"mouse7","pair3",45.250313604744
"927",57,"mouse7","day19",49.1304347826087
"928",57,"mouse7","pair2",25.9486166007905
"929",57,"mouse7","day5",60.7303471847454
"930",57,"mouse7","pair3",45.5098814229249
"931",57,"mouse7","day1",67.1813452248235
"932",57,"mouse7","day2",56.6963953920476
"933",57,"mouse7","pair1",43.1146245059289
"934",57,"mouse7","day4",54.2777477963662
"935",57,"mouse7","day11",71.568382475429
"936",57,"mouse7","day6",50.102536427415
"937",57,"mouse7","day3",57.4730583426236
"938",57,"mouse7","day9",68.2966849908379
"939",57,"mouse7","day13",51.7509727626459
"940",57,"mouse7","day17",53.6964980544747
"941",57,"mouse7","day7",58.4815925370648
"942",57,"mouse7","day15",50.5836575875486
"943",58,"mouse7","day5",68.6296296296296
"944",58,"mouse7","day4",44.040404040404
"945",58,"mouse7","day1",29.6146001073537
"946",58,"mouse7","day2",41.7641796385758
"947",58,"mouse7","day13",50.2200956937799
"948",58,"mouse7","day15",47.0813397129187
"949",58,"mouse7","day6",46.976430976431
"950",58,"mouse7","pair3",21.0857142857143
"951",58,"mouse7","pair1",71.847619047619
"952",58,"mouse7","day7",59.6849047386419
"953",58,"mouse7","day17",58.8516746411483
"954",58,"mouse7","day3",39.4861334764717
"955",58,"mouse7","pair2",35.9238095238095
"956",58,"mouse7","day19",47.8260869565217
"957",58,"mouse7","day9",62.7796775769419
"958",58,"mouse7","day11",46.4215925744993
"959",53,"mouse8","day14",78.14236622
"960",53,"mouse8","day4",86.53061224
"961",53,"mouse8","pair2",64
"962",53,"mouse8","pair3",60.5
"963",53,"mouse8","day15",74.96907216
"964",53,"mouse8","pair1",79.5
"965",53,"mouse8","day19",85.46448087
"966",53,"mouse8","day3",93.71428571
"967",53,"mouse8","day5",61.2244898
"968",53,"mouse8","day17",90.04221895
"969",53,"mouse8","day12",63.37685096
"970",53,"mouse8","day7",60.93990217
"971",53,"mouse8","day9",63.18308875
"972",53,"mouse8","day1",69.14285714
"973",53,"mouse8","day2",95.42857143
"974",53,"mouse8","day11",93.37772715
"975",53,"mouse8","day10",45.23759609
"976",53,"mouse8","day6",89.3877551
"977",53,"mouse8","day13",63.37685096
"978",54,"mouse8","day7",49.29666399
"979",54,"mouse8","day15",26.94909156
"980",54,"mouse8","pair1",31.39455782
"981",54,"mouse8","day17",27.7082209
"982",54,"mouse8","day6",36.12061041
"983",54,"mouse8","day4",38.8104431
"984",54,"mouse8","day13",22.77388019
"985",54,"mouse8","day1",39.97101449
"986",54,"mouse8","day5",37.27339584
"987",54,"mouse8","day11",40.12519162
"988",54,"mouse8","pair3",45.88435374
"989",54,"mouse8","day9",48.15022994
"990",54,"mouse8","day19",22.69230769
"991",54,"mouse8","pair2",17.70975057
"992",54,"mouse8","day3",49.35196687
"993",54,"mouse8","day2",40.78674948
"994",55,"mouse8","day3",69.48350072
"995",55,"mouse8","day7",76.66196189
"996",55,"mouse8","pair1",37.12999274
"997",55,"mouse8","day2",85.77618364
"998",55,"mouse8","day6",85.07078745
"999",55,"mouse8","day13",56.87663551
"1000",55,"mouse8","day1",67.56671449
"1001",55,"mouse8","pair3",28.93246187
"1002",55,"mouse8","day11",55.24170783
"1003",55,"mouse8","day4",73.52271676
"1004",55,"mouse8","day5",68.1336171
"1005",55,"mouse8","day19",52.67759563
"1006",55,"mouse8","day9",NA
"1007",55,"mouse8","day17",74.67476636
"1008",55,"mouse8","pair2",33.75453885
"1009",55,"mouse8","day15",69.25794393
"1010",56,"mouse8","day5",52.4796905222437
"1011",56,"mouse8","day11",47.513986013986
"1012",56,"mouse8","pair1",60.1990779205969
"1013",56,"mouse8","day4",61.5551257253385
"1014",56,"mouse8","day1",52.6547824420165
"1015",56,"mouse8","day19",60.3846153846154
"1016",56,"mouse8","day6",43.7988394584139
"1017",56,"mouse8","day7",51.2552447552448
"1018",56,"mouse8","day9",50.1328671328671
"1019",56,"mouse8","pair3",30.3015492888911
"1020",56,"mouse8","day13",41.8039808515999
"1021",56,"mouse8","day2",56.1912976806594
"1022",56,"mouse8","day3",51.8688901667625
"1023",56,"mouse8","day17",14.7543461829176
"1024",56,"mouse8","day15",19.6724615772235
"1025",56,"mouse8","pair2",11.312578401186
"1026",57,"mouse8","day5",53.8981831264616
"1027",57,"mouse8","pair3",36.3280632411067
"1028",57,"mouse8","day15",34.6303501945525
"1029",57,"mouse8","day17",28.7937743190662
"1030",57,"mouse8","day19",53.9130434782609
"1031",57,"mouse8","day4",38.7155963302752
"1032",57,"mouse8","day3",79.2196209587514
"1033",57,"mouse8","day13",28.7937743190661
"1034",57,"mouse8","day11",38.8514076295186
"1035",57,"mouse8","day2",61.3563730955035
"1036",57,"mouse8","pair2",25.5494071146245
"1037",57,"mouse8","day9",46.2127269698484
"1038",57,"mouse8","day7",45.8037647842745
"1039",57,"mouse8","day6",51.241230437129
"1040",57,"mouse8","day1",52.8130806391676
"1041",57,"mouse8","pair1",39.5217391304348
"1042",58,"mouse8","day4",46.2424242424242
"1043",58,"mouse8","day3",38.7267847557703
"1044",58,"mouse8","pair1",51.152380952381
"1045",58,"mouse8","day2",29.234925747003
"1046",58,"mouse8","day13",40.8038277511962
"1047",58,"mouse8","day15",20.7942583732058
"1048",58,"mouse8","day1",13.2886026122741
"1049",58,"mouse8","pair3",17.1809523809524
"1050",58,"mouse8","day19",27.3913043478261
"1051",58,"mouse8","day7",36.695163654128
"1052",58,"mouse8","pair2",11.3238095238095
"1053",58,"mouse8","day5",49.9124579124579
"1054",58,"mouse8","day11",49.5163654127992
"1055",58,"mouse8","day9",45.9794821690278
"1056",58,"mouse8","day6",42.939393939394
"1057",58,"mouse8","day17",35.311004784689
"1058",53,"mouse9","pair2",54.5
"1059",53,"mouse9","pair1",77
"1060",53,"mouse9","day11",90.37763953
"1061",53,"mouse9","day12",67.12696048
"1062",53,"mouse9","day10",81.12858141
"1063",53,"mouse9","day1",60
"1064",53,"mouse9","day2",102.8571429
"1065",53,"mouse9","day4",90.6122449
"1066",53,"mouse9","pair3",67.5
"1067",53,"mouse9","day9",80.75471698
"1068",53,"mouse9","day15",95.99214531
"1069",53,"mouse9","day17",67.43249877
"1070",53,"mouse9","day19",86.12021858
"1071",53,"mouse9","day14",84.48895434
"1072",53,"mouse9","day5",88.57142857
"1073",53,"mouse9","day13",73.12713572
"1074",53,"mouse9","day7",48.22851153
"1075",53,"mouse9","day3",92
"1076",53,"mouse9","day6",84.48979592
"1077",54,"mouse9","day7",35.92160012
"1078",54,"mouse9","day2",46.9047619
"1079",54,"mouse9","day9",31.71800861
"1080",54,"mouse9","day5",44.19010848
"1081",54,"mouse9","day6",44.57437029
"1082",54,"mouse9","pair2",25.75963719
"1083",54,"mouse9","day1",44.04968944
"1084",54,"mouse9","day13",25.05126821
"1085",54,"mouse9","pair1",61.98412698
"1086",54,"mouse9","day15",20.87605684
"1087",54,"mouse9","day11",30.18942989
"1088",54,"mouse9","day4",44.57437029
"1089",54,"mouse9","pair3",37.43197279
"1090",54,"mouse9","day19",12.69230769
"1091",54,"mouse9","day17",25.05126821
"1092",54,"mouse9","day3",46.49689441
"1093",55,"mouse9","day1",105.902439
"1094",55,"mouse9","day6",89.69001573
"1095",55,"mouse9","day4",117.4053854
"1096",55,"mouse9","day2",88.65136298
"1097",55,"mouse9","day9",46.22265349
"1098",55,"mouse9","day5",91.22975849
"1099",55,"mouse9","day19",87.65027322
"1100",55,"mouse9","pair3",48.22076979
"1101",55,"mouse9","pair1",40.98765432
"1102",55,"mouse9","pair2",34.23674655
"1103",55,"mouse9","day17",69.64485981
"1104",55,"mouse9","day7",80.04410727
"1105",55,"mouse9","day3",106.3816356
"1106",55,"mouse9","day15",88.21682243
"1107",55,"mouse9","day11",92.82110092
"1108",55,"mouse9","day13",80.86542056
"1109",56,"mouse9","day4",61.1605415860735
"1110",56,"mouse9","day2",30.6497987349051
"1111",56,"mouse9","day3",45.1888058271037
"1112",56,"mouse9","day1",47.1535365152386
"1113",56,"mouse9","day19",81.5384615384615
"1114",56,"mouse9","day5",47.7446808510638
"1115",56,"mouse9","day6",41.431334622824
"1116",56,"mouse9","day17",42.2138238011254
"1117",56,"mouse9","day7",43.7727272727273
"1118",56,"mouse9","pair1",48.8864995194109
"1119",56,"mouse9","pair2",20.6050535164459
"1120",56,"mouse9","pair3",34.7457765179284
"1121",56,"mouse9","day15",30.3283782648862
"1122",56,"mouse9","day9",56.1188811188811
"1123",56,"mouse9","day11",61.3566433566434
"1124",56,"mouse9","day13",30.3283782648862
"1125",57,"mouse9","day19",58.2608695652174
"1126",57,"mouse9","pair2",29.5415019762846
"1127",57,"mouse9","pair3",25.9486166007905
"1128",57,"mouse9","day1",43.4931252322557
"1129",57,"mouse9","pair1",61.4782608695652
"1130",57,"mouse9","day7",61.3443278360819
"1131",57,"mouse9","day9",48.6665000832917
"1132",57,"mouse9","day11",78.9297018157588
"1133",57,"mouse9","day13",56.420233463035
"1134",57,"mouse9","day15",41.6342412451362
"1135",57,"mouse9","day17",59.9221789883269
"1136",57,"mouse9","day4",83.8837920489296
"1137",57,"mouse9","day5",78.9494513401691
"1138",57,"mouse9","day2",66.7930137495355
"1139",57,"mouse9","day3",89.7045707915273
"1140",57,"mouse9","day6",78.1903220003598
"1141",58,"mouse9","day17",50.6124401913875
"1142",58,"mouse9","day19",57.3913043478261
"1143",58,"mouse9","day6",68.6296296296296
"1144",58,"mouse9","day7",64.1060087933561
"1145",58,"mouse9","day9",62.3375671714704
"1146",58,"mouse9","day11",74.7166585246703
"1147",58,"mouse9","day13",60.8133971291866
"1148",58,"mouse9","day15",53.3588516746411
"1149",58,"mouse9","pair1",76.9238095238095
"1150",58,"mouse9","pair2",31.6285714285714
"1151",58,"mouse9","pair3",57.7904761904762
"1152",58,"mouse9","day1",66.8226874217212
"1153",58,"mouse9","day2",67.5820361424226
"1154",58,"mouse9","day3",65.3039899803185
"1155",58,"mouse9","day4",73.4006734006734
"1156",58,"mouse9","day5",71.1986531986532
