"","cohort","mouse","day","creatinine"
"136",55,"mouse10","day2",58.94117647
"137",55,"mouse10","day4",79.68168779
"138",55,"mouse10","pair1",66.54466231
"139",55,"mouse10","pair2",67.02687001
"140",55,"mouse10","day1",95.83931133
"141",55,"mouse10","day19",60.76502732
"142",55,"mouse10","day15",70.80560748
"143",55,"mouse10","day17",103.6934579
"144",55,"mouse10","day5",75.8323309
"145",55,"mouse10","day6",101.2380864
"146",55,"mouse10","day7",95.45165843
"147",55,"mouse10","pair3",58.34713145
"148",55,"mouse10","day9",75.15878617
"149",55,"mouse10","day11",94.32427664
"150",55,"mouse10","day13",56.10280374
"151",56,"mouse10","day3",79.3751198006517
"152",56,"mouse10","day1",71.9091431857389
"153",56,"mouse10","day11",80.8111888111888
"154",56,"mouse10","pair3",51.7146441197074
"155",56,"mouse10","day19",89.6153846153846
"156",56,"mouse10","day4",64.7117988394584
"157",56,"mouse10","day2",56.9771899559133
"158",56,"mouse10","day5",65.1063829787234
"159",56,"mouse10","day15",29.0988494163097
"160",56,"mouse10","pair2",46.8663962334848
"161",56,"mouse10","day6",NA
"162",56,"mouse10","pair1",67.4714497499308
"163",56,"mouse10","day9",81.5594405594406
"164",56,"mouse10","day17",50.8205257411607
"165",56,"mouse10","day7",NA
"166",56,"mouse10","day13",36.4760225077685
"167",53,"mouse11","day1",53.14285714
"168",53,"mouse11","day11",76.50223429
"169",53,"mouse11","day12",55.50162096
"170",53,"mouse11","day2",57.71428571
"171",53,"mouse11","day6",76.32653061
"172",53,"mouse11","pair1",49
"173",53,"mouse11","pair2",58
"174",53,"mouse11","day13",64.87689477
"175",53,"mouse11","day3",70.28571429
"176",53,"mouse11","day4",69.3877551
"177",53,"mouse11","day7",74.39902166
"178",53,"mouse11","day15",50.77270496
"179",53,"mouse11","pair3",56
"180",53,"mouse11","day19",84.80874317
"181",53,"mouse11","day10",78.13766597
"182",53,"mouse11","day9",80.00698812
"183",53,"mouse11","day17",94.80216004
"184",53,"mouse11","day14",63.4658812
"185",53,"mouse11","day5",48.97959184
"186",54,"mouse11","day5",58.40779555
"187",54,"mouse11","day2",43.23395445
"188",54,"mouse11","day1",45.27329193
"189",54,"mouse11","day17",30.36517359
"190",54,"mouse11","pair2",29.38208617
"191",54,"mouse11","day7",22.92868093
"192",54,"mouse11","day3",76.27122153
"193",54,"mouse11","pair3",41.85941043
"194",54,"mouse11","day6",54.56517742
"195",54,"mouse11","day13",51.62079511
"196",54,"mouse11","day9",50.44309804
"197",54,"mouse11","day4",67.63007906
"198",54,"mouse11","pair1",61.98412698
"199",54,"mouse11","day11",48.15022994
"200",54,"mouse11","day15",25.43083288
"201",54,"mouse11","day19",20
"202",55,"mouse11","day15",75.44859813
"203",55,"mouse11","pair2",40.98765432
"204",55,"mouse11","day2",86.2553802
"205",55,"mouse11","day3",110.215208
"206",55,"mouse11","day17",61.51962617
"207",55,"mouse11","day13",56.87663551
"208",55,"mouse11","day9",59.751235
"209",55,"mouse11","day11",71.77664079
"210",55,"mouse11","day4",104.7025076
"211",55,"mouse11","day19",60.10928962
"212",55,"mouse11","pair1",55.45388526
"213",55,"mouse11","day7",86.80839802
"214",55,"mouse11","pair3",55.93609296
"215",55,"mouse11","day1",105.902439
"216",55,"mouse11","day5",69.67335986
