"","cohort","mouse","day","MUPs"
"139",55,"mouse10","pair2",9.364632394
"140",55,"mouse10","day1",14.60289427
"141",55,"mouse10","day19",69.02293146
"142",55,"mouse10","day15",36.35922757
"143",55,"mouse10","day17",65.24235305
"144",55,"mouse10","day5",12.18047247
"145",55,"mouse10","day6",9.145545112
"146",55,"mouse10","day7",12.36809666
"147",55,"mouse10","pair3",12.86881479
"148",55,"mouse10","day9",14.36467435
"149",55,"mouse10","day11",12.42372803
"150",55,"mouse10","day13",23.36594323
"151",56,"mouse10","day3",19.00301297
"152",56,"mouse10","day1",14.23680521
"153",56,"mouse10","day11",14.23297678
"154",56,"mouse10","pair3",19.7763416
"155",56,"mouse10","day19",18.53433394
"156",56,"mouse10","day4",17.27214194
"157",56,"mouse10","day2",22.76122313
"158",56,"mouse10","day5",16.40945484
"159",56,"mouse10","day15",51.4008555
"160",56,"mouse10","pair2",15.17197786
"161",56,"mouse10","day6",NA
"162",56,"mouse10","pair1",6.203383736
"163",56,"mouse10","day9",12.47730978
"164",56,"mouse10","day17",31.21913117
"165",56,"mouse10","day7",NA
"166",56,"mouse10","day13",42.77766883
"167",53,"mouse11","day1",20.26495089
"168",53,"mouse11","day11",12.82554106
"169",53,"mouse11","day12",15.20446468
"170",53,"mouse11","day2",20.18266274
"171",53,"mouse11","day6",13.24049229
"172",53,"mouse11","pair1",20.58368543
"173",53,"mouse11","pair2",13.97165274
"174",53,"mouse11","day13",12.97388349
"175",53,"mouse11","day3",14.42178106
"176",53,"mouse11","day4",15.48181944
"177",53,"mouse11","day7",14.68333828
"178",53,"mouse11","day15",18.93557525
"179",53,"mouse11","pair3",28.49789207
"180",53,"mouse11","day19",11.68976432
"181",53,"mouse11","day10",11.21609224
"182",53,"mouse11","day9",9.598895693
"183",53,"mouse11","day17",11.31587379
"184",53,"mouse11","day14",25.05356015
"185",53,"mouse11","day5",20.47639844
"186",54,"mouse11","day5",14.11010658
"187",54,"mouse11","day2",11.29999327
"188",54,"mouse11","day1",9.625303167
"189",54,"mouse11","day17",14.04466309
"190",54,"mouse11","pair2",20.04458844
"191",54,"mouse11","day7",12.19509464
"192",54,"mouse11","day3",9.151175658
"193",54,"mouse11","pair3",21.95637107
"194",54,"mouse11","day6",11.56369739
"195",54,"mouse11","day13",16.04256377
"196",54,"mouse11","day9",17.91666614
"197",54,"mouse11","day4",9.429775912
"198",54,"mouse11","pair1",10.37728012
"199",54,"mouse11","day11",16.16186974
"200",54,"mouse11","day15",14.71669175
"201",54,"mouse11","day19",14.37419122
"202",55,"mouse11","day15",51.55286183
"203",55,"mouse11","pair2",19.89523259
"204",55,"mouse11","day2",19.72793152
"205",55,"mouse11","day3",12.27437978
"206",55,"mouse11","day17",41.84242566
"207",55,"mouse11","day13",25.52706284
"208",55,"mouse11","day9",16.48619765
"209",55,"mouse11","day11",15.88590319
"210",55,"mouse11","day4",11.8092948
"211",55,"mouse11","day19",65.05512535
"212",55,"mouse11","pair1",12.75480359
"213",55,"mouse11","day7",29.47703015
"214",55,"mouse11","pair3",23.1637499
"215",55,"mouse11","day1",18.20428921
"216",55,"mouse11","day5",12.88080045
"217",55,"mouse11","day6",13.69047737
"218",56,"mouse11","day5",19.67505535
"219",56,"mouse11","pair2",14.24241451
"220",56,"mouse11","day3",17.46877655
"221",56,"mouse11","day6",19.99042472
"222",56,"mouse11","day2",22.80131497
"223",56,"mouse11","day11",15.12205119
"224",56,"mouse11","pair1",2.194916874
"225",56,"mouse11","day9",14.76880313
"226",56,"mouse11","day4",15.60556442
"227",56,"mouse11","day13",38.25960035
"228",56,"mouse11","pair3",23.50132003
"229",56,"mouse11","day1",15.65527492
"230",56,"mouse11","day19",21.38406669
"231",56,"mouse11","day15",34.76882834
"232",56,"mouse11","day7",14.31302943
"233",56,"mouse11","day17",51.07813373
"234",57,"mouse11","day5",11.16736406
"235",57,"mouse11","day4",11.52673855
"236",57,"mouse11","day3",11.14544028
"237",57,"mouse11","day13",15.53557643
"238",57,"mouse11","day15",18.51510682
"239",57,"mouse11","day2",12.09043326
"240",57,"mouse11","day17",14.88481082
"241",57,"mouse11","day19",23.07726596
"242",57,"mouse11","day6",10.6577435
"243",57,"mouse11","day9",13.17122228
"244",57,"mouse11","day1",12.36061697
"245",57,"mouse11","day11",11.04822224
"246",57,"mouse11","pair3",18.07805734
"247",57,"mouse11","day7",14.20397273
"248",57,"mouse11","pair2",13.69799047
"249",57,"mouse11","pair1",8.994542651
"250",58,"mouse11","day7",9.880542428
"251",58,"mouse11","day3",8.131361518
"252",58,"mouse11","day6",9.709784654
"253",58,"mouse11","day11",11.68916069
"254",58,"mouse11","day17",11.05800556
"255",58,"mouse11","day13",11.24715177
"256",58,"mouse11","day2",9.755661239
"257",58,"mouse11","day1",8.359006983
"258",58,"mouse11","day4",7.730863864
"259",58,"mouse11","pair1",5.825478732
"260",58,"mouse11","day9",9.430263668
"261",58,"mouse11","day5",7.858383046
"262",58,"mouse11","day15",9.033815597
"263",58,"mouse11","day19",11.38299028
"264",58,"mouse11","pair2",8.980722736
"265",58,"mouse11","pair3",8.625601924
"266",53,"mouse12","day15",12.11814687
"267",53,"mouse12","day13",9.240828568
"268",53,"mouse12","day17",14.36918914
"269",53,"mouse12","day14",11.64279079
"270",53,"mouse12","day1",7.92885923
"271",53,"mouse12","day4",11.75156331
"272",53,"mouse12","pair3",13.19408898
"273",53,"mouse12","day2",12.37831958
"274",53,"mouse12","day19",14.55224617
"275",53,"mouse12","day7",12.64109664
"276",53,"mouse12","day5",10.91735405
"277",53,"mouse12","day6",13.40314861
"278",53,"mouse12","day12",10.46802299
"279",53,"mouse12","pair1",5.64815432
"280",53,"mouse12","pair2",8.229773968
"281",53,"mouse12","day9",13.29307564
"282",53,"mouse12","day3",9.603281932
"283",53,"mouse12","day11",13.34903253
"284",53,"mouse12","day10",7.531508422
"285",54,"mouse12","day9",18.99071539
"286",54,"mouse12","day7",11.30723345
"287",54,"mouse12","pair3",28.10381235
"288",54,"mouse12","pair1",15.51981368
"289",54,"mouse12","pair2",17.5006083
"290",54,"mouse12","day6",12.24580249
"291",54,"mouse12","day19",16.56753733
"292",54,"mouse12","day1",10.17399719
"293",54,"mouse12","day5",13.48120057
"294",54,"mouse12","day15",14.29100557
"295",54,"mouse12","day17",12.59539565
"296",54,"mouse12","day11",12.2660811
"297",54,"mouse12","day13",17.36120633
"298",54,"mouse12","day2",13.79550011
"299",54,"mouse12","day3",8.902169327
"300",54,"mouse12","day4",11.37248794
"301",55,"mouse12","pair1",1.976692418
"302",55,"mouse12","day5",23.85161067
"303",55,"mouse12","day6",16.50037588
