"","cohort","mouse","day","MUPs"
"693",54,"mouse5","day11",11.99151083
"694",54,"mouse5","day13",21.27491238
"695",54,"mouse5","pair1",NA
"696",54,"mouse5","day15",12.57793533
"697",55,"mouse5","day4",15.78105308
"698",55,"mouse5","day3",16.68545548
"699",55,"mouse5","day2",18.74013435
"700",55,"mouse5","day19",44.96452416
"701",55,"mouse5","day5",15.27796032
"702",55,"mouse5","day6",16.1243117
"703",55,"mouse5","day1",16.12200835
"704",55,"mouse5","day17",40.0032327
"705",55,"mouse5","pair1",9.673293836
"706",55,"mouse5","day7",15.41538668
"707",55,"mouse5","day13",38.2168104
"708",55,"mouse5","day9",11.53352441
"709",55,"mouse5","pair3",20.3741585
"710",55,"mouse5","day11",12.7352175
"711",55,"mouse5","day15",52.6257395
"712",55,"mouse5","pair2",17.40717917
"713",56,"mouse5","day4",13.69814946
"714",56,"mouse5","day19",18.16862756
"715",56,"mouse5","day3",15.63188693
"716",56,"mouse5","pair3",17.37939228
"717",56,"mouse5","day6",14.81326571
"718",56,"mouse5","day1",24.3004195
"719",56,"mouse5","day2",20.04380834
"720",56,"mouse5","pair2",14.15080926
"721",56,"mouse5","day17",28.69116946
"722",56,"mouse5","day15",38.67936295
"723",56,"mouse5","day7",13.47530776
"724",56,"mouse5","day5",13.73689913
"725",56,"mouse5","pair1",3.573108493
"726",56,"mouse5","day11",11.87368654
"727",56,"mouse5","day13",39.66490032
"728",56,"mouse5","day9",17.03641086
"729",57,"mouse5","pair1",14.80807253
"730",57,"mouse5","day19",19.2906512
"731",57,"mouse5","day1",28.83790329
"732",57,"mouse5","day15",18.92400721
"733",57,"mouse5","pair3",32.99827904
"734",57,"mouse5","day11",12.86137177
"735",57,"mouse5","day13",19.89963305
"736",57,"mouse5","day17",15.23045885
"737",57,"mouse5","pair2",26.63521239
"738",57,"mouse5","day4",14.53616931
"739",57,"mouse5","day2",22.38120462
"740",57,"mouse5","day3",14.76040395
"741",57,"mouse5","day7",14.59569348
"742",57,"mouse5","day9",11.9702668
"743",57,"mouse5","day6",15.50524726
"744",57,"mouse5","day5",15.06431983
"745",58,"mouse5","pair2",19.83597021
"746",58,"mouse5","day5",16.94008559
"747",58,"mouse5","day13",24.21391624
"748",58,"mouse5","day17",18.03680543
"749",58,"mouse5","day6",14.5400711
"750",58,"mouse5","pair1",17.48920107
"751",58,"mouse5","day2",16.48708924
"752",58,"mouse5","day19",15.95760761
"753",58,"mouse5","day7",21.48623888
"754",58,"mouse5","day15",17.05576207
"755",58,"mouse5","day4",14.38478346
"756",58,"mouse5","day11",21.79317368
"757",58,"mouse5","pair3",17.86395072
"758",58,"mouse5","day1",17.81320285
"759",58,"mouse5","day9",16.30450693
"760",58,"mouse5","day3",17.46012115
"761",53,"mouse6","pair2",21.17046389
"762",53,"mouse6","pair3",37.99342764
"763",53,"mouse6","day1",21.06301676
"764",53,"mouse6","day5",15.74227331
"765",53,"mouse6","day19",21.0504508
"766",53,"mouse6","day3",15.10823336
"767",53,"mouse6","day4",15.33186811
"768",53,"mouse6","day12",11.81999142
"769",53,"mouse6","pair1",6.715082775
"770",53,"mouse6","day13",10.03929137
"771",53,"mouse6","day14",15.97148818
"772",53,"mouse6","day15",15.28914189
"773",53,"mouse6","day17",22.34997109
"774",53,"mouse6","day2",19.9307808
"775",53,"mouse6","day7",15.87248486
"776",53,"mouse6","day11",26.71486276
"777",53,"mouse6","day10",15.02885359
"778",53,"mouse6","day6",12.0773798
"779",53,"mouse6","day9",12.49035272
"780",54,"mouse6","day5",11.56534856
"781",54,"mouse6","day6",12.51422965
"782",54,"mouse6","pair2",18.00835208
"783",54,"mouse6","day15",14.62414109
"784",54,"mouse6","pair3",16.93117621
"785",54,"mouse6","day7",10.49373562
"786",54,"mouse6","day2",8.97549367
"787",54,"mouse6","day3",9.185693829
"788",54,"mouse6","day4",13.23319771
"789",54,"mouse6","day1",12.02246541
"790",54,"mouse6","pair1",6.399376915
"791",54,"mouse6","day9",12.95411596
"792",54,"mouse6","day11",11.67459022
"793",54,"mouse6","day17",9.375554226
"794",54,"mouse6","day19",19.5026212
"795",54,"mouse6","day13",14.95435548
"796",55,"mouse6","pair1",3.806588343
"797",55,"mouse6","day3",16.66365203
"798",55,"mouse6","day4",13.31971345
"799",55,"mouse6","day1",19.90646808
"800",55,"mouse6","day19",37.95389445
"801",55,"mouse6","day2",23.00613053
"802",55,"mouse6","day7",24.03868553
"803",55,"mouse6","day9",16.87949783
"804",55,"mouse6","day5",13.952628
"805",55,"mouse6","day6",16.12274207
"806",55,"mouse6","pair2",19.80090545
"807",55,"mouse6","pair3",19.09792226
"808",55,"mouse6","day13",51.85153866
"809",55,"mouse6","day15",35.19532906
"810",55,"mouse6","day17",36.19163094
"811",55,"mouse6","day11",18.25274669
"812",56,"mouse6","day2",19.15275815
"813",56,"mouse6","day3",20.62396902
"814",56,"mouse6","pair2",13.70683266
"815",56,"mouse6","day5",26.96098247
"816",56,"mouse6","pair3",18.69942937
"817",56,"mouse6","pair1",6.380396384
"818",56,"mouse6","day4",25.79476915
"819",56,"mouse6","day11",25.73839498
"820",56,"mouse6","day6",38.67127714
"821",56,"mouse6","day1",13.97465213
"822",56,"mouse6","day9",34.77372957
"823",56,"mouse6","day13",42.33487403
"824",56,"mouse6","day15",93.43117884
"825",56,"mouse6","day17",48.06203023
"826",56,"mouse6","day19",59.35159876
"827",56,"mouse6","day7",32.83503625
"828",57,"mouse6","day13",20.53411101
"829",57,"mouse6","day11",15.57391361
"830",57,"mouse6","day1",17.11168831
"831",57,"mouse6","pair3",23.89562381
"832",57,"mouse6","day4",22.72339807
"833",57,"mouse6","day2",18.03004574
"834",57,"mouse6","pair2",18.08914672
"835",57,"mouse6","day3",17.05383173
"836",57,"mouse6","day17",13.1222584
"837",57,"mouse6","day5",14.65872479
"838",57,"mouse6","day7",12.68998843
"839",57,"mouse6","day9",13.40192147
"840",57,"mouse6","pair1",17.58102674
"841",57,"mouse6","day15",19.81354411
"842",57,"mouse6","day19",23.5680479
"843",57,"mouse6","day6",11.56202841
"844",58,"mouse6","day7",21.24258663
"845",58,"mouse6","pair1",15.21029091
"846",58,"mouse6","day6",14.92687259
"847",58,"mouse6","day2",17.01157491
"848",58,"mouse6","pair2",20.45865544
"849",58,"mouse6","day1",14.89137237
"850",58,"mouse6","day15",20.44144177
"851",58,"mouse6","day3",17.013224
"852",58,"mouse6","day5",14.27159808
"853",58,"mouse6","pair3",17.15300729
"854",58,"mouse6","day17",21.87347362
"855",58,"mouse6","day19",23.40925582
"856",58,"mouse6","day13",22.67365136
"857",58,"mouse6","day9",18.33915427
"858",58,"mouse6","day11",16.17453318
"859",58,"mouse6","day4",14.67414268
"860",53,"mouse7","pair1",11.48045177
"861",53,"mouse7","day10",NA
"862",53,"mouse7","day11",NA
"863",53,"mouse7","day12",NA
"864",53,"mouse7","day3",11.80470727
"865",53,"mouse7","day9",NA
"866",53,"mouse7","day4",25.49763514
"867",53,"mouse7","day5",34.9958744
"868",53,"mouse7","day2",13.03865416
"869",53,"mouse7","pair2",24.34185334
"870",53,"mouse7","day7",31.97368805
"871",53,"mouse7","day19",NA
"872",53,"mouse7","day1",13.52192976
"873",53,"mouse7","day15",NA
"874",53,"mouse7","pair3",21.31397314
"875",53,"mouse7","day17",NA
"876",53,"mouse7","day6",34.39128247
"877",53,"mouse7","day14",NA
"878",53,"mouse7","day13",NA
"879",54,"mouse7","pair1",11.21860181
"880",54,"mouse7","day5",19.65003797
"881",54,"mouse7","pair2",18.27423264
"882",54,"mouse7","pair3",18.99053022
"883",54,"mouse7","day1",14.75496008
"884",54,"mouse7","day15",23.42202633
"885",54,"mouse7","day9",25.10519399
"886",54,"mouse7","day4",25.08249553
"887",54,"mouse7","day13",30.6381347
"888",54,"mouse7","day17",23.96968567
"889",54,"mouse7","day19",30.79510182
"890",54,"mouse7","day11",25.28565541
"891",54,"mouse7","day2",14.30303034
"892",54,"mouse7","day7",20.91076711
"893",54,"mouse7","day3",14.76904287
"894",54,"mouse7","day6",19.24331138
"895",55,"mouse7","day4",23.59173099
"896",55,"mouse7","day15",63.66247073
"897",55,"mouse7","pair1",7.13347338
"898",55,"mouse7","pair2",12.57864713
"899",55,"mouse7","day3",23.38203957
"900",55,"mouse7","day7",17.55017805
"901",55,"mouse7","day9",14.04770625
"902",55,"mouse7","pair3",23.81954033
"903",55,"mouse7","day6",21.70454925
"904",55,"mouse7","day17",43.4366468
"905",55,"mouse7","day11",14.67064011
"906",55,"mouse7","day13",54.95869347
"907",55,"mouse7","day1",25.44128736
"908",55,"mouse7","day2",20.08088964
"909",55,"mouse7","day5",24.52626252
"910",55,"mouse7","day19",51.07739853
"911",56,"mouse7","day4",15.66807234
"912",56,"mouse7","day15",66.01842523
"913",56,"mouse7","day5",22.41028062
"914",56,"mouse7","day2",20.94703528
"915",56,"mouse7","day3",18.9665749
"916",56,"mouse7","day1",18.77599327
"917",56,"mouse7","day13",33.87638469
"918",56,"mouse7","day7",22.13521349
"919",56,"mouse7","day9",NA
"920",56,"mouse7","pair1",5.783168853
"921",56,"mouse7","pair2",12.88406867
"922",56,"mouse7","day17",30.73672736
"923",56,"mouse7","day11",16.6846434
"924",56,"mouse7","day6",NA
"925",56,"mouse7","day19",54.76231549
"926",56,"mouse7","pair3",19.5038002
"927",57,"mouse7","day19",16.99158069
"928",57,"mouse7","pair2",15.9415478
"929",57,"mouse7","day5",13.48984257
"930",57,"mouse7","pair3",13.10803366
"931",57,"mouse7","day1",11.21343242
"932",57,"mouse7","day2",13.995501
"933",57,"mouse7","pair1",12.14911356
"934",57,"mouse7","day4",13.72972563
"935",57,"mouse7","day11",10.92617056
"936",57,"mouse7","day6",15.34565389
"937",57,"mouse7","day3",12.4168289
"938",57,"mouse7","day9",10.74931156
"939",57,"mouse7","day13",13.9664362
"940",57,"mouse7","day17",13.64636972
"941",57,"mouse7","day7",13.13729834
"942",57,"mouse7","day15",14.43144256
"943",58,"mouse7","day5",12.00354533
"944",58,"mouse7","day4",18.3402851
"945",58,"mouse7","day1",29.00345834
"946",58,"mouse7","day2",21.20287593
"947",58,"mouse7","day13",17.60416762
"948",58,"mouse7","day15",18.22856303
"949",58,"mouse7","day6",17.26975117
"950",58,"mouse7","pair3",27.45423576
"951",58,"mouse7","pair1",10.41430904
"952",58,"mouse7","day7",15.47303372
"953",58,"mouse7","day17",15.6706979
"954",58,"mouse7","day3",22.13283054
"955",58,"mouse7","pair2",17.91809811
"956",58,"mouse7","day19",18.64777303
"957",58,"mouse7","day9",14.76682499
"958",58,"mouse7","day11",17.81656461
"959",53,"mouse8","day14",11.7718978
"960",53,"mouse8","day4",10.83218595
"961",53,"mouse8","pair2",8.213414763
"962",53,"mouse8","pair3",16.37543543
"963",53,"mouse8","day15",12.82409329
"964",53,"mouse8","pair1",0.799803396
"965",53,"mouse8","day19",9.790847
"966",53,"mouse8","day3",9.320625044
"967",53,"mouse8","day5",16.21841289
"968",53,"mouse8","day17",9.705446835
"969",53,"mouse8","day12",7.601516079
"970",53,"mouse8","day7",15.47726736
"971",53,"mouse8","day9",13.8021015
"972",53,"mouse8","day1",13.11119254
"973",53,"mouse8","day2",10.29509083
"974",53,"mouse8","day11",11.1962981
"975",53,"mouse8","day10",10.75282418
"976",53,"mouse8","day6",11.09129471
"977",53,"mouse8","day13",11.32715699
"978",54,"mouse8","day7",12.63211585
"979",54,"mouse8","day15",13.98918879
"980",54,"mouse8","pair1",2.190479805
"981",54,"mouse8","day17",11.86114361
"982",54,"mouse8","day6",13.07887785
"983",54,"mouse8","day4",14.10021198
"984",54,"mouse8","day13",17.90453446
"985",54,"mouse8","day1",14.30162504
"986",54,"mouse8","day5",14.2747224
"987",54,"mouse8","day11",13.76605563
"988",54,"mouse8","pair3",22.20708999
"989",54,"mouse8","day9",NA
"990",54,"mouse8","day19",16.76821265
"991",54,"mouse8","pair2",21.29545145
"992",54,"mouse8","day3",13.1378118
"993",54,"mouse8","day2",12.68004498
"994",55,"mouse8","day3",16.8867113
"995",55,"mouse8","day7",16.42351918
"996",55,"mouse8","pair1",7.400944599
"997",55,"mouse8","day2",22.74475068
"998",55,"mouse8","day6",22.46575973
"999",55,"mouse8","day13",53.65882451
"1000",55,"mouse8","day1",20.39540854
"1001",55,"mouse8","pair3",19.25957247
"1002",55,"mouse8","day11",19.5913261
"1003",55,"mouse8","day4",22.90702362
"1004",55,"mouse8","day5",21.2246617
"1005",55,"mouse8","day19",64.01728863
"1006",55,"mouse8","day9",15.68043633
"1007",55,"mouse8","day17",34.59735173
"1008",55,"mouse8","pair2",10.40368523
"1009",55,"mouse8","day15",50.73662714
"1010",56,"mouse8","day5",20.47134854
"1011",56,"mouse8","day11",18.63621677
"1012",56,"mouse8","pair1",10.05483005
"1013",56,"mouse8","day4",18.12729377
"1014",56,"mouse8","day1",21.33870127
"1015",56,"mouse8","day19",23.29092614
"1016",56,"mouse8","day6",29.21348076
"1017",56,"mouse8","day7",19.0643643
"1018",56,"mouse8","day9",18.37791632
"1019",56,"mouse8","pair3",30.42141085
"1020",56,"mouse8","day13",24.42532659
"1021",56,"mouse8","day2",19.14454105
"1022",56,"mouse8","day3",21.06860813
"1023",56,"mouse8","day17",45.44519093
"1024",56,"mouse8","day15",67.59959051
"1025",56,"mouse8","pair2",25.21804633
"1026",57,"mouse8","day5",14.59975487
"1027",57,"mouse8","pair3",12.16349524
"1028",57,"mouse8","day15",18.33785778
"1029",57,"mouse8","day17",22.33692097
"1030",57,"mouse8","day19",14.70244355
"1031",57,"mouse8","day4",13.25420335
"1032",57,"mouse8","day3",10.79223586
"1033",57,"mouse8","day13",20.47815968
"1034",57,"mouse8","day11",18.27499374
"1035",57,"mouse8","day2",12.69048964
"1036",57,"mouse8","pair2",15.02758418
"1037",57,"mouse8","day9",15.52832467
"1038",57,"mouse8","day7",14.50143306
"1039",57,"mouse8","day6",14.31575889
"1040",57,"mouse8","day1",11.18974038
"1041",57,"mouse8","pair1",11.99670299
"1042",58,"mouse8","day4",17.12648442
"1043",58,"mouse8","day3",22.56663798
"1044",58,"mouse8","pair1",14.37468658
"1045",58,"mouse8","day2",29.89369319
"1046",58,"mouse8","day13",21.68137656
"1047",58,"mouse8","day15",36.75053448
"1048",58,"mouse8","day1",43.97006477
"1049",58,"mouse8","pair3",29.13192548
"1050",58,"mouse8","day19",31.06400593
"1051",58,"mouse8","day7",22.90404247
"1052",58,"mouse8","pair2",25.16855004
"1053",58,"mouse8","day5",18.12130782
"1054",58,"mouse8","day11",16.42572302
"1055",58,"mouse8","day9",19.65673701
"1056",58,"mouse8","day6",19.98359518
"1057",58,"mouse8","day17",25.84657733
"1058",53,"mouse9","pair2",29.25488796
"1059",53,"mouse9","pair1",4.310201348
"1060",53,"mouse9","day11",20.23381661
"1061",53,"mouse9","day12",14.06131789
"1062",53,"mouse9","day10",9.573265993
"1063",53,"mouse9","day1",18.90845042
"1064",53,"mouse9","day2",11.15709384
"1065",53,"mouse9","day4",12.20331064
"1066",53,"mouse9","pair3",25.85093544
"1067",53,"mouse9","day9",11.85102684
"1068",53,"mouse9","day15",12.24678711
"1069",53,"mouse9","day17",16.16120692
"1070",53,"mouse9","day19",12.45664834
"1071",53,"mouse9","day14",14.08065354
"1072",53,"mouse9","day5",10.62576238
"1073",53,"mouse9","day13",14.35798916
"1074",53,"mouse9","day7",19.76550219
"1075",53,"mouse9","day3",10.98064922
"1076",53,"mouse9","day6",11.91985298
"1077",54,"mouse9","day7",11.73585091
"1078",54,"mouse9","day2",12.09183326
"1079",54,"mouse9","day9",24.93584571
"1080",54,"mouse9","day5",11.57985743
"1081",54,"mouse9","day6",10.51958202
"1082",54,"mouse9","pair2",13.054449
"1083",54,"mouse9","day1",10.12212286
"1084",54,"mouse9","day13",13.48474415
"1085",54,"mouse9","pair1",5.889668035
"1086",54,"mouse9","day15",11.01070026
"1087",54,"mouse9","day11",12.73791293
"1088",54,"mouse9","day4",9.244846721
"1089",54,"mouse9","pair3",12.18597248
"1090",54,"mouse9","day19",11.19453977
"1091",54,"mouse9","day17",16.87013485
"1092",54,"mouse9","day3",9.724494489
"1093",55,"mouse9","day1",20.54825078
"1094",55,"mouse9","day6",19.17039197
"1095",55,"mouse9","day4",18.94864323
"1096",55,"mouse9","day2",20.03288119
"1097",55,"mouse9","day9",26.33164948
"1098",55,"mouse9","day5",20.31339266
"1099",55,"mouse9","day19",129.8462825
"1100",55,"mouse9","pair3",23.99354469
"1101",55,"mouse9","pair1",3.990693009
"1102",55,"mouse9","pair2",15.3642809
"1103",55,"mouse9","day17",48.26717621
"1104",55,"mouse9","day7",23.04950918
"1105",55,"mouse9","day3",19.99083617
"1106",55,"mouse9","day15",76.63865502
"1107",55,"mouse9","day11",26.14099961
"1108",55,"mouse9","day13",50.35521068
"1109",56,"mouse9","day4",15.46083746
"1110",56,"mouse9","day2",34.48737805
"1111",56,"mouse9","day3",28.1585802
"1112",56,"mouse9","day1",19.27726998
"1113",56,"mouse9","day19",17.83983425
"1114",56,"mouse9","day5",21.47896389
"1115",56,"mouse9","day6",24.50031758
"1116",56,"mouse9","day17",30.04495563
"1117",56,"mouse9","day7",18.18596534
"1118",56,"mouse9","pair1",9.955411258
"1119",56,"mouse9","pair2",15.69770391
"1120",56,"mouse9","pair3",21.2915022
"1121",56,"mouse9","day15",44.78015468
"1122",56,"mouse9","day9",15.79557391
"1123",56,"mouse9","day11",16.75218828
"1124",56,"mouse9","day13",47.10856322
"1125",57,"mouse9","day19",14.90714334
"1126",57,"mouse9","pair2",20.07798796
"1127",57,"mouse9","pair3",33.94994995
"1128",57,"mouse9","day1",20.090951
"1129",57,"mouse9","pair1",14.34693559
"1130",57,"mouse9","day7",11.25210664
"1131",57,"mouse9","day9",15.90155959
"1132",57,"mouse9","day11",9.890969778
"1133",57,"mouse9","day13",14.30672703
"1134",57,"mouse9","day15",17.5467699
"1135",57,"mouse9","day17",13.11800907
"1136",57,"mouse9","day4",8.538389983
"1137",57,"mouse9","day5",9.108450817
"1138",57,"mouse9","day2",14.21424271
"1139",57,"mouse9","day3",10.38635369
"1140",57,"mouse9","day6",10.20032411
"1141",58,"mouse9","day17",18.19088804
"1142",58,"mouse9","day19",15.47404375
"1143",58,"mouse9","day6",11.61797662
"1144",58,"mouse9","day7",14.95142541
"1145",58,"mouse9","day9",14.34177744
"1146",58,"mouse9","day11",13.08360542
"1147",58,"mouse9","day13",15.83021359
"1148",58,"mouse9","day15",17.7966853
"1149",58,"mouse9","pair1",9.950455804
"1150",58,"mouse9","pair2",19.88438822
"1151",58,"mouse9","pair3",13.41875647
"1152",58,"mouse9","day1",13.09300489
"1153",58,"mouse9","day2",13.26583654
"1154",58,"mouse9","day3",13.67162494
"1155",58,"mouse9","day4",10.99704864
"1156",58,"mouse9","day5",11.5719217
