Timestamp,Actor,Behavior,Recipient,Location,Outside assigned observation time
12/30/2015 12:01,Start,Start,Start,Start,
12/30/2015 12:04,3,Fighting,10,UL,
12/30/2015 12:09,"3, 4",Fighting,"3, 4",UR,
12/30/2015 12:09,3,Fighting,5,UR,
12/30/2015 12:12,"3, 4",Fighting,"3, 4",UR,
12/30/2015 12:32,3,Subordinate,8,NB5,
12/30/2015 12:32,10,Fighting,8,NB5,
12/30/2015 12:33,"2, 4",Fighting,"2, 4",UR,
12/30/2015 12:40,"2, 4",Fighting,"2, 4",MR,
12/30/2015 12:44,3,"Chasing, Mounting",5,MR,
12/30/2015 12:44,"3, 4",Fighting,"3, 4",MR,
12/30/2015 12:56,"2, 3",Fighting,"2, 3",UR,
12/30/2015 12:57,"2, 3",Fighting,"2, 3",UL,
12/30/2015 13:00,End,End,End,End,
12/30/2015 17:50,4,Fighting,8,NB5,Yes
12/30/2015 17:51,4,Fighting,7,NB5,Yes
12/30/2015 17:51,4,Fighting,2,NB4,Yes
12/30/2015 18:19,1,"Fighting, Chasing",4,LL,Yes
12/30/2015 18:21,4,Fighting,11,LL,Yes
12/30/2015 18:23,5,"Fighting, Chasing",10,UL,Yes
12/30/2015 18:23,4,"Fighting, Chasing",10,UR,Yes
12/30/2015 18:24,3,Fighting,8,NB4,Yes
12/30/2015 18:25,4,Fighting,11,NB4,Yes
12/30/2015 18:25,5,Fighting,10,LL,Yes
12/30/2015 18:26,8,Fighting,11,NB4,Yes
12/30/2015 18:28,5,Fighting,10,MR,Yes
12/30/2015 18:28,5,Fighting,11,MR,Yes
12/30/2015 18:28,5,"Fighting, Chasing",10,LL,Yes
12/30/2015 18:28,4,Fighting,2,UR,Yes
12/30/2015 18:28,4,Fighting,9,MR,Yes
12/30/2015 18:29,3,Mounting,5,MR,Yes
12/30/2015 18:32,4,Fighting,8,UR,Yes
12/30/2015 18:32,4,Subordinate,3,UR,Yes
12/30/2015 18:34,1,Subordinate,7,LL,Yes
12/30/2015 18:34,1,Fighting,7,LL,Yes
12/30/2015 18:34,1,"Fighting, Chasing",5,LL,Yes
12/30/2015 18:35,3,Chasing,10,LL,Yes
12/30/2015 18:35,1,Fighting,7,LL,Yes
12/31/2015 10:59,Start,Start,Start,Start,
12/31/2015 11:01,1,Subordinate,8,NB4,
12/31/2015 11:01,1,Fighting,4,NB4,
12/31/2015 11:03,6,Chasing,12,LL,
12/31/2015 11:05,6,Chasing,12,LL,
12/31/2015 11:20,1,Subordinate,2,UL,
12/31/2015 11:25,4,Chasing,2,LL,
12/31/2015 11:33,8,Fighting,10,NB4,
