Timestamp,Actor,Behavior,Recipient,Location,Outside assigned observation time
12/3/2015 10:56,"7, 9",Fighting,"7, 9",LR,Yes
12/3/2015 11:01,Start,Start,Start,Start,
12/3/2015 11:02,7,"Fighting, Chasing, Mounting",2,ML,
12/3/2015 11:04,11,Subordinate,8,LL,
12/3/2015 11:05,7,"Fighting, Chasing","1, 2",MR,
12/3/2015 11:06,11,"Fighting, Chasing",10,LR,
12/3/2015 11:06,11,"Fighting, Chasing",1,LR,
12/3/2015 11:06,11,"Fighting, Chasing",1,LR,
12/3/2015 11:06,7,"Fighting, Chasing",2,UR,
12/3/2015 11:07,7,"Fighting, Chasing",2,UR,
12/3/2015 11:08,9,Fighting,12,LL,
12/3/2015 11:08,9,"Fighting, Chasing",12,LL,
12/3/2015 11:09,8,Subordinate,1,LL,
12/3/2015 11:09,7,"Fighting, Chasing",2,UR,
12/3/2015 11:09,9,"Fighting, Chasing",1,LL,
12/3/2015 11:09,9,Induce-flee,4,LL,
12/3/2015 11:10,9,Induce-flee,4,LL,
12/3/2015 11:11,8,Subordinate,2,LL,
12/3/2015 11:11,8,Subordinate,2,LL,
12/3/2015 11:11,4,Subordinate,2,LL,
12/3/2015 11:12,"8, 9",Fighting,"8, 9",LR,
12/3/2015 11:12,"8, 9",Fighting,"8, 9",LR,
12/3/2015 11:13,"8, 9",Fighting,"8, 9",LR,
12/3/2015 11:13,7,"Fighting, Chasing",9,LL,
12/3/2015 11:15,"7, 8",Fighting,"7, 8",LR,
12/3/2015 11:16,7,"Fighting, Chasing",9,LL,
12/3/2015 11:16,7,"Fighting, Chasing",9,LL,
12/3/2015 11:16,7,Fighting,3,LR,
12/3/2015 11:16,7,"Fighting, Chasing",9,LR,
12/3/2015 11:16,7,"Fighting, Chasing",9,LR,
12/3/2015 11:16,7,Subordinate,9,LL,
12/3/2015 11:17,7,Subordinate,8,LR,
12/3/2015 11:17,7,Induce-flee,5,LL,
12/3/2015 11:18,7,"Fighting, Chasing",12,LL,
12/3/2015 11:18,7,"Fighting, Chasing",8,LL,
12/3/2015 11:23,7,"Fighting, Chasing",1,LL,
12/3/2015 11:24,8,Subordinate,2,UL,
12/3/2015 11:28,7,Chasing,11,ML,
12/3/2015 11:30,7,Induce-flee,11,UR,
12/3/2015 11:32,7,"Fighting, Chasing",1,MR,
12/3/2015 11:39,7,Subordinate,11,UR,
12/3/2015 11:50,7,Fighting,10,LL,
12/3/2015 11:50,6,Subordinate,10,LR,
12/3/2015 11:50,8,"Fighting, Chasing, Mounting",10,LR,
12/3/2015 11:50,7,Fighting,6,LL,
12/3/2015 11:51,7,Fighting,10,NB4,
12/3/2015 11:51,7,"Fighting, Chasing",10,NB1,
12/3/2015 11:51,7,"Fighting, Chasing",10,NB1,
12/3/2015 11:51,7,Subordinate,10,LR,
12/3/2015 11:52,7,"Fighting, Chasing",3,LR,
12/3/2015 11:54,7,"Fighting, Chasing",10,UR,
12/3/2015 11:54,7,"Fighting, Chasing, Mounting",10,UL,
12/3/2015 11:54,7,"Fighting, Chasing",10,MR,
12/3/2015 11:54,7,"Fighting, Chasing, Mounting",12,MR,
12/3/2015 11:55,8,Subordinate,12,UR,
12/3/2015 11:59,7,Fighting,10,UR,
12/3/2015 11:59,End,End,End,End,
12/3/2015 12:00,Start,Start,Start,Start,
12/3/2015 12:00,7,"Fighting, Chasing",1,UR,
