Timestamp,Actor,Behavior,Recipient,Location,Outside assigned observation time
1/8/2016 11:59,Start,Start,Start,Start,
1/8/2016 12:04,2,Subordinate,9,UL,
1/8/2016 12:05,8,Chasing,4,UL,
1/8/2016 12:05,8,Fighting,12,UR,
1/8/2016 12:05,2,Mounting,3,MR,
1/8/2016 12:06,2,Mounting,3,MR,
1/8/2016 12:12,8,Fighting,3,UR,
1/8/2016 12:13,2,Chasing,5,MR,
1/8/2016 12:14,2,Fighting,3,UL,
1/8/2016 12:16,8,Fighting,2,UR,
1/8/2016 12:16,8,Fighting,2,UR,
1/8/2016 12:18,7,Fighting,11,LR,
1/8/2016 12:18,7,Mounting,11,LR,
1/8/2016 12:19,7,Chasing,11,LL,
1/8/2016 12:25,2,Subordinate,3,UR,
1/8/2016 12:27,2,Mounting,3,UR,
1/8/2016 12:28,2,Fighting,3,UR,
1/8/2016 12:28,8,Fighting,2,UR,
1/8/2016 12:28,8,Fighting,3,UR,
1/8/2016 12:30,8,Fighting,2,UR,
1/8/2016 12:30,2,Mounting,11,UR,
1/8/2016 12:32,8,Chasing,5,UL,
1/8/2016 12:32,8,Chasing,1,UL,
1/8/2016 12:33,2,Fighting,7,UR,
1/8/2016 12:37,8,Chasing,12,UL,
1/8/2016 12:38,8,Chasing,1,UR,
1/8/2016 12:40,8,Subordinate,3,MR,
1/8/2016 12:41,9,Mounting,11,UR,
1/8/2016 12:42,2,Fighting,4,UR,
1/8/2016 12:42,8,Fighting,5,LL,
1/8/2016 12:45,8,Fighting,7,NB3,
1/8/2016 12:46,8,Fighting,3,NB3,
1/8/2016 12:46,2,Mounting,11,UR,
1/8/2016 12:47,2,Mounting,11,UR,
1/8/2016 12:52,8,Mounting,11,LR,
1/8/2016 12:53,8,Fighting,2,UR,
1/8/2016 12:55,8,Subordinate,9,UR,
1/8/2016 12:57,8,"Chasing, Mounting",11,UL,
1/8/2016 12:58,8,Subordinate,7,UL,
1/8/2016 12:58,8,Chasing,2,UL,
1/8/2016 12:58,8,Fighting,2,UL,
1/8/2016 12:59,8,Induce-flee,4,UR,
1/8/2016 12:59,End,End,End,End,
1/8/2016 16:34,2,Chasing,3,UL,Yes
1/8/2016 16:42,2,Chasing,3,UL,Yes
1/8/2016 16:42,2,Mounting,3,UL,Yes
1/8/2016 16:43,8,Fighting,6,UR,Yes
1/8/2016 16:44,8,Fighting,6,ML,Yes
1/9/2016 11:17,7,Fighting,11,NB5,Yes
1/9/2016 11:59,Start,Start,Start,Start,
1/9/2016 12:05,8,Induce-flee,7,LL,
1/9/2016 12:06,7,Fighting,12,LR,
1/9/2016 12:06,8,"Fighting, Mounting",7,NB2,
1/9/2016 12:08,2,Chasing,3,UR,
1/9/2016 12:09,2,Subordinate,11,MR,
1/9/2016 12:10,2,Mounting,11,MR,
1/9/2016 12:13,2,Subordinate,11,MR,
1/9/2016 12:14,2,Fighting,11,UR,
1/9/2016 12:16,7,Chasing,12,LR,
1/9/2016 12:16,7,Fighting,6,LR,
1/9/2016 12:17,8,Mounting,6,NB2,
1/9/2016 12:18,7,Fighting,12,LR,
1/9/2016 12:27,2,Chasing,3,UR,
1/9/2016 12:29,2,Chasing,3,MR,
1/9/2016 12:38,2,Chasing,1,UR,
1/9/2016 12:55,2,Fighting,12,LL,
1/9/2016 12:57,2,Fighting,4,UL,
1/9/2016 12:57,2,Chasing,4,UL,
1/9/2016 12:58,2,Chasing,6,UL,
1/9/2016 12:58,2,Fighting,5,UL,
1/9/2016 12:59,2,Chasing,9,LL,
1/9/2016 12:59,End,End,End,End,
1/9/2016 13:07,4,Fighting,11,MR,Yes
1/9/2016 13:21,4,Fighting,11,NB5,Yes
1/9/2016 13:21,4,Subordinate,9,NB2,Yes
1/9/2016 13:45,8,Mounting,7,NB2,Yes
1/10/2016 11:02,Start,Start,Start,Start,
1/10/2016 11:17,6,Fighting,3,NB4,
1/10/2016 11:34,6,Chasing,9,UR,
1/10/2016 11:38,2,Chasing,3,UL,
1/10/2016 11:39,2,Subordinate,3,UL,
