Timestamp,Actor,Behavior,Recipient,Location,Outside assigned observation time
12/3/2015 10:54,4,"Fighting, Chasing",5,NB3,Yes
12/3/2015 10:54,4,"Fighting, Chasing",8,NB1,Yes
12/3/2015 10:59,"3, 4",Fighting,"3, 4",NB4,Yes
12/3/2015 10:59,"6, 11",Fighting,"6, 11",NB5,Yes
12/3/2015 11:00,"3, 4",Fighting,"3, 4",NB3,Yes
12/3/2015 11:05,Start,Start,Start,Start,
12/3/2015 11:06,3,Fighting,1,LR,
12/3/2015 11:06,3,Fighting,4,LR,
12/3/2015 11:06,3,Fighting,4,LR,
12/3/2015 11:07,4,Fighting,7,LL,
12/3/2015 11:08,4,Fighting,7,LR,
12/3/2015 11:09,4,Fighting,9,LL,
12/3/2015 11:10,4,Fighting,7,LL,
12/3/2015 11:11,7,Fighting,2,LL,
12/3/2015 11:12,4,Fighting,2,LL,
12/3/2015 11:12,8,"Fighting, Chasing",4,LR,
12/3/2015 11:13,4,Fighting,1,LR,
12/3/2015 11:13,5,Fighting,1,LL,
12/3/2015 11:14,8,Fighting,4,LR,
12/3/2015 11:14,4,Fighting,6,NB3,
12/3/2015 11:15,"3, 4",Fighting,"3, 4",NB5,
12/3/2015 11:18,4,Fighting,6,NB5,
12/3/2015 11:19,4,Fighting,12,NB2,
12/3/2015 11:20,4,Fighting,3,LL,
12/3/2015 11:23,4,Fighting,5,NB5,
12/3/2015 11:24,8,Fighting,3,LL,
12/3/2015 11:25,3,Fighting,8,LL,
12/3/2015 11:30,3,Fighting,1,NB4,
12/3/2015 11:47,3,Fighting,6,UR,
12/3/2015 12:03,11,Fighting,12,UR,
12/3/2015 12:14,3,Fighting,1,UR,
12/3/2015 12:16,3,Chasing,6,ML,
12/3/2015 12:17,3,Fighting,8,MR,
12/3/2015 12:20,1,Fighting,8,NB4,
12/3/2015 12:31,1,Fighting,9,NB3,
12/3/2015 12:32,1,Chasing,7,LL,
12/3/2015 12:33,3,"Fighting, Chasing",1,LL,
12/3/2015 12:39,3,Fighting,4,UL,
12/3/2015 12:47,3,Fighting,4,NB2,
12/3/2015 12:48,3,"Fighting, Chasing",6,LL,
12/3/2015 12:51,3,Fighting,6,UL,
12/3/2015 12:52,3,Fighting,4,LL,
12/3/2015 12:52,3,Fighting,4,LL,
12/3/2015 12:56,3,"Fighting, Chasing",6,MR,
12/3/2015 13:01,1,Fighting,6,LR,
12/3/2015 13:06,End,End,End,End,
12/3/2015 20:11,7,"Fighting, Chasing",6,UR,Yes
12/3/2015 20:18,7,Fighting,9,NB2,Yes
12/4/2015 13:00,Start,Start,Start,Start,
12/4/2015 13:23,4,"Fighting, Chasing",1,ML,
12/4/2015 13:25,7,Mounting,4,NB2,
12/4/2015 13:28,6,Fighting,10,LL,
12/4/2015 13:28,7,Chasing,4,LL,
12/4/2015 13:29,4,Fighting,5,ML,
12/4/2015 13:33,4,Fighting,3,LR,
12/4/2015 13:33,4,Fighting,11,ML,
12/4/2015 13:35,7,Subordinate,4,UL,
12/4/2015 13:35,4,Chasing,5,UL,
12/4/2015 13:35,7,Subordinate,4,UL,
12/4/2015 13:37,7,Chasing,"6, 9",ML,
12/4/2015 13:39,7,Subordinate,"5, 6",LL,
12/4/2015 13:40,7,Fighting,4,ML,
12/4/2015 13:40,4,Fighting,10,UR,
12/4/2015 13:42,11,Fighting,12,NB4,
12/4/2015 13:44,7,Fighting,4,ML,
12/4/2015 13:48,4,Fighting,9,ML,
12/4/2015 13:49,4,"Fighting, Chasing",5,AllOver,
12/4/2015 13:55,7,Fighting,4,ML,
12/4/2015 14:00,End,End,End,End,
12/4/2015 14:00,Start,Start,Start,Start,
12/4/2015 14:04,4,Fighting,1,LL,
12/4/2015 14:05,4,Fighting,10,LR,
12/4/2015 14:16,7,Chasing,8,LL,
12/4/2015 14:21,4,Fighting,1,UL,
12/4/2015 14:21,7,Fighting,4,ML,
12/4/2015 14:24,6,Fighting,1,LR,
12/4/2015 14:24,7,"Fighting, Chasing",4,LR,
12/4/2015 14:25,4,Fighting,6,LL,
12/4/2015 14:26,4,"Fighting, Chasing",8,LR,
12/4/2015 14:27,4,Chasing,6,LL,
12/4/2015 14:27,4,"Fighting, Chasing",3,NB3,
12/4/2015 14:28,4,Fighting,8,MR,
12/4/2015 14:31,4,Fighting,9,UR,
12/4/2015 14:35,4,Fighting,12,MR,
12/4/2015 14:50,7,Chasing,6,NB4,
12/4/2015 14:55,4,Chasing,6,UR,
12/4/2015 14:57,4,Fighting,11,UR,
12/4/2015 14:58,7,Fighting,4,UR,
12/4/2015 14:59,7,Induce-flee,6,UR,
12/4/2015 14:59,7,Fighting,4,UR,
12/4/2015 15:00,End,End,End,End,
12/5/2015 16:00,Start,Start,Start,Start,
12/5/2015 16:05,7,Chasing,3,UL,
12/5/2015 16:08,4,"Fighting, Chasing",3,ML,
12/5/2015 16:11,4,"Fighting, Chasing",9,LL,
12/5/2015 16:39,7,Fighting,8,LL,
12/5/2015 16:40,5,"Fighting, Chasing",12,ML,
12/5/2015 16:55,4,"Fighting, Chasing",8,UL,
12/5/2015 16:58,4,"Fighting, Chasing",5,LL,
12/5/2015 17:01,4,Fighting,7,NB5,
12/5/2015 17:01,End,End,End,End,
12/5/2015 17:01,Start,Start,Start,Start,
12/5/2015 17:19,7,"Fighting, Chasing",10,LR,
12/5/2015 17:22,7,Induce-flee,4,UR,
12/5/2015 17:23,7,Fighting,4,UR,
12/5/2015 18:00,End,End,End,End,
12/6/2015 15:00,Start,Start,Start,Start,
12/6/2015 15:23,4,"Fighting, Chasing",3,LR,
12/6/2015 15:38,7,Fighting,4,ML,
12/6/2015 15:39,7,Chasing,1,UR,
12/6/2015 15:55,4,Fighting,8,LL,
12/6/2015 15:57,4,"Fighting, Chasing",3,LL,
12/6/2015 16:01,4,Chasing,9,ML,
12/6/2015 16:01,End,End,End,End,
12/6/2015 16:01,Start,Start,Start,Start,
12/6/2015 16:07,4,"Fighting, Chasing",12,ML,
12/6/2015 17:00,End,End,End,End,
12/7/2015 12:00,Start,Start,Start,Start,
12/7/2015 12:04,7,Chasing,9,ML,
12/7/2015 12:25,4,Fighting,9,ML,
12/7/2015 12:25,4,Fighting,7,ML,
12/7/2015 12:31,7,Chasing,11,ML,
12/7/2015 12:38,7,Chasing,8,UL,
12/7/2015 12:39,7,Chasing,1,LR,
12/7/2015 12:39,7,Chasing,10,ML,
12/7/2015 12:41,7,Chasing,8,UR,
12/7/2015 12:52,7,"Fighting, Chasing",4,LR,
12/7/2015 12:59,7,Chasing,2,UR,
12/7/2015 12:59,7,Chasing,3,UL,
12/7/2015 13:00,End,End,End,End,
12/7/2015 13:00,Start,Start,Start,Start,
12/7/2015 13:02,7,Chasing,4,LL,
12/7/2015 13:12,7,Induce-flee,4,LR,
12/7/2015 13:18,7,Chasing,6,NB5,
12/7/2015 13:20,7,Induce-flee,4,UR,
12/7/2015 13:31,4,"Fighting, Chasing",1,UR,
12/7/2015 13:43,7,Chasing,4,LL,
12/7/2015 13:51,2,"Fighting, Chasing",12,UL,
12/7/2015 13:52,2,Chasing,12,ML,
12/7/2015 13:57,2,Chasing,12,UL,
12/7/2015 14:00,End,End,End,End,
12/8/2015 14:02,Start,Start,Start,Start,
12/8/2015 14:09,4,Chasing,11,UL,
12/8/2015 14:12,4,Chasing,9,UL,
12/8/2015 14:13,4,Chasing,1,UL,
12/8/2015 14:17,4,Chasing,1,LR,
12/8/2015 14:19,4,Fighting,1,UR,
12/8/2015 14:21,4,Chasing,9,UR,
12/8/2015 14:28,8,Chasing,6,LL,
12/8/2015 14:38,4,Chasing,9,MR,
